GroupID,BeadColor,Distance_in,Transect_m
4,Green,30,37
4,Green,92,37
4,Green,57,37
4,Green,22,37
4,Green,74,37
4,Green,21,37
4,Green,66,37
4,Green,57,37
4,Green,26,37
4,Green,39,37
4,Green,6,37
4,Green,36,37
4,Green,48,37
4,Green,71,37
4,Green,32,37
4,Green,31,37
4,Green,48,37
4,Green,47,37
4,Green,62,37
4,Green,62,37
4,Green,104,37
4,Green,39,37
4,Green,18,37
4,Green,25,37
4,Green,29,37
4,Green,32,37
4,Green,13,37
4,Green,4,37
4,Green,72,37
4,Green,2,37
4,Green,39,37
4,Green,8,37
4,Clear,41,37
4,Clear,56,37
4,Clear,70,37
4,Clear,68,37
4,Clear,36,37
4,Clear,61,37
4,Clear,63,37
4,Clear,15,37
4,Clear,26,37
4,Clear,18,37
4,Clear,24,37
4,Clear,123,37
4,Clear,54,37
4,Clear,32,37
4,Clear,42,37
4,Clear,26,37
5,Green,38,37
5,Green,13,37
5,Green,24,37
5,Green,15.5,37
5,Green,24,37
5,Green,56,37
5,Green,70,37
5,Green,17,37
5,Green,5,37
5,Green,6.5,37
5,Green,36,37
5,Green,32,37
5,Green,1.5,37
5,Green,9,37
5,Green,27,37
5,Green,53,37
5,Green,17.5,37
5,Green,34.5,37
5,Green,16.5,37
5,Green,19.5,37
5,Clear,18.5,37
5,Clear,14.5,37
5,Clear,30,37
5,Clear,25.5,37
5,Clear,6.5,37
5,Clear,0.5,37
5,Clear,30,37
5,Clear,60.5,37
5,Clear,11.5,37
5,Clear,13.5,37
5,Clear,30,37
5,Clear,33.5,37
6,Green,54.5,37
6,Green,52,37
6,Green,73,37
6,Green,78,37
6,Green,76,37
6,Green,25.5,37
6,Green,5,37
6,Green,61,37
6,Green,60.5,37
6,Green,25.5,37
6,Green,17,37
6,Green,63,37
6,Green,74.5,37
6,Green,71,37
6,Green,2.5,37
6,Green,51.5,37
6,Green,5.5,37
6,Green,67,37
6,Clear,18.5,37
6,Clear,25,37
6,Clear,41.5,37
6,Clear,6,37
6,Clear,68,37
6,Clear,30,37
6,Clear,25,37
6,Clear,61.5,37
6,Clear,178,37
6,Clear,80.5,37
6,Clear,30,37
6,Clear,60.5,37
6,Clear,11,37
6,Clear,81,37
6,Clear,48,37
6,Clear,34.5,37
6,Clear,60.5,37
6,Clear,35,37
7,Clear,18,37
7,Clear,6,37
7,Clear,29,37
7,Clear,25,37
7,Clear,8,37
7,Clear,6,37
7,Clear,0,37
7,Clear,6,37
7,Clear,13,37
7,Clear,28,37
7,Clear,32,37
7,Clear,4,37
7,Green,38,37
7,Green,13.5,37
7,Green,24,37
7,Green,15.5,37
7,Green,16.5,37
7,Green,5,37
7,Green,24.5,37
7,Green,3,37
7,Green,22,37
7,Green,2.5,37
7,Green,9.5,37
7,Green,18,37
7,Green,20,37
7,Green,17,37
7,Green,2,37
7,Green,20.5,37
8,Green,30.5,37
8,Green,23.5,37
8,Green,20,37
8,Green,25.25,37
8,Green,58,37
8,Green,39.5,37
8,Green,5,37
8,Green,35,37
8,Green,48,37
8,Green,31.5,37
8,Green,31.5,37
8,Green,33.25,37
8,Green,25.75,37
8,Green,5,37
8,Green,25.25,37
8,Green,17.5,37
8,Green,20.5,37
8,Green,32,37
8,Green,15.5,37
8,Green,4.5,37
8,Green,38,37
8,Green,1.5,37
8,Green,49.5,37
8,Green,4,37
8,Green,8.75,37
8,Clear,42,37
8,Clear,58,37
8,Clear,69,37
8,Clear,36,37
8,Clear,35.5,37
8,Clear,62.5,37
8,Clear,33.5,37
8,Clear,0.5,37
8,Clear,25,37
8,Clear,18,37
8,Clear,68,37
8,Clear,24,37
8,Clear,9,37
8,Clear,54,37
8,Clear,32,37
8,Clear,29,37
9,Green,44,37
9,Green,72,37
9,Green,14,37
9,Green,27,37
9,Green,16.5,37
9,Green,19,37
9,Green,6,37
9,Green,2,37
9,Green,33,37
9,Green,3,37
9,Green,68,37
9,Green,31.5,37
9,Green,28,37
9,Green,34,37
9,Green,18,37
9,Green,52.5,37
9,Green,20.5,37
9,Green,18,37
9,Green,45,37
9,Green,2,37
9,Green,37,37
9,Green,13,37
9,Clear,19,37
9,Clear,25.5,37
9,Clear,29.5,37
9,Clear,25.5,37
9,Clear,38,37
9,Clear,8.5,37
9,Clear,6.5,37
9,Clear,33.5,37
9,Clear,61,37
9,Clear,13,37
9,Clear,29,37
9,Clear,49.5,37
9,Clear,33.5,37
9,Clear,99,37
9,Clear,4,37
9,Clear,63,37
9,Clear,34,37
10,Clear,40,37
10,Clear,123,37
10,Clear,36,37
10,Clear,5,37
10,Clear,35,37
10,Clear,1,37
10,Clear,29,37
10,Clear,34,37
10,Clear,37,37
10,Clear,64,37
10,Clear,116,37
10,Clear,31,37
10,Clear,53,37
10,Clear,9,37
10,Green,23,37
10,Green,20,37
10,Green,25,37
10,Green,31,37
10,Green,33,37
10,Green,39,37
10,Green,5,37
10,Green,17,37
10,Green,25,37
10,Green,32,37
10,Green,13,37
10,Green,5,37
10,Green,2,37
10,Green,4,37
10,Green,9,37
