group_id,paddle_id,length_in,width_in,depth_in,spines,insects,damage,location,species,size
5,7,8,3.5,0.25,N,N,None,Eigth,Opuntia ficus-indica,Large
5,8,8,3.5,0.5,N,N,None,Fifth,Opuntia ficus-indica,Large
5,9,8,6,0.75,N,N,Some,Fourth,Opuntia ficus-indica,Large
1,2,8,3,0.5,N,N,Most,Fifth,Opuntia ficus-indica,Large
4,4,8,4,0.125,N,N,Some,Seventh,Opuntia ficus-indica,Large
3,3,8,3.5,0.25,N,Y,Some,Third,Opuntia ficus-indica,Large
2,1,8,3.75,0.5,N,N,Some,Seventh,Opuntia ficus-indica,Large
2,4,8,5,0.5,N,N,Some,Fifth,Opuntia ficus-indica,Large
2,6,8,3.3,0.375,N,N,Most,Sixth,Opuntia ficus-indica,Large
10,7,8.25,5.5,0.5,Y,N,None,Fifth,Opuntia engelemannii,Large
8,4,8.5,5,0.5,Y,N,None,Third,Opuntia engelemannii,Medium
4,2,8.5,4,0.125,N,N,Some,Fifth,Opuntia ficus-indica,Large
3,4,8.5,5.75,0.125,N,Y,None,Third,Opuntia ficus-indica,Large
6,6,8.5,4.5,0.5,N,N,Some,Sixth,Opuntia ficus-indica,Large
11,10,8.5,10.5,1,Y,Y,Most,First,Opuntia engelemannii,Small
5,2,9,4.25,0.25,N,N,Some,Seventh,Opuntia ficus-indica,Large
1,7,9,3.73,0.5,N,N,None,Sixth,Opuntia ficus-indica,Large
4,6,9,8,1.5,N,N,Most,Fifth,Opuntia ficus-indica,Large
3,1,9,4,0.25,N,Y,Some,Fourth,Opuntia ficus-indica,Large
3,2,9,7,0.5,N,Y,Most,Second,Opuntia ficus-indica,Large
2,3,9,6.5,0.5,N,N,Some,Fifth,Opuntia ficus-indica,Large
10,9,9,6.5,0.5,Y,N,All,Fourth,Opuntia engelemannii,Large
11,8,9,7,0.5,Y,Y,None,Tenth,Opuntia engelemannii,Small
5,6,9.5,6,0.25,N,N,None,Sixth,Opuntia ficus-indica,Large
4,10,9.5,6,0.25,N,N,Some,Third,Opuntia ficus-indica,Large
6,9,9.5,4,0.375,N,N,None,Sixth,Opuntia ficus-indica,Large
9,4,9.5,6.5,0.75,Y,Y,Most,Third,Opuntia engelemannii,Small
9,5,9.5,8,1.5,Y,Y,Most,First,Opuntia engelemannii,Small
9,6,9.5,11,1.5,Y,Y,Most,First,Opuntia engelemannii,Small
2,2,9.5,5.5,0.5,N,N,Some,Sixth,Opuntia ficus-indica,Large
2,7,9.5,5,1,N,N,Some,Third,Opuntia ficus-indica,Large
5,5,10,5.5,0.25,N,N,Most,Fourth,Opuntia ficus-indica,Large
1,6,10,5.5,1,N,N,Some,Second,Opuntia ficus-indica,Large
1,8,10,3.5,0.5,N,N,None,Fourth,Opuntia ficus-indica,Large
4,5,10,7,0.25,N,N,Most,Third,Opuntia ficus-indica,Large
4,8,10,5,0.125,N,N,Some,Sixth,Opuntia ficus-indica,Large
9,9,10,7.5,1.25,Y,N,None,Third,Opuntia engelemannii,Small
5,3,10.5,5.5,0.5,N,N,Some,Fourth,Opuntia ficus-indica,Large
3,6,10.5,6.5,0.25,N,N,None,Fourth,Opuntia ficus-indica,Large
6,4,10.5,7,1,N,N,None,Fourth,Opuntia ficus-indica,Large
6,10,10.5,7.75,0.75,N,N,Some,Second,Opuntia ficus-indica,Large
10,6,10.5,7.25,0.3,Y,N,All,Second,Opuntia engelemannii,Large
11,4,10.5,7.5,0.3,Y,Y,Most,Fourth,Opuntia engelemannii,Small
5,4,11,7,0.5,N,N,None,Fifth,Opuntia ficus-indica,Large
1,9,11,4,0.5,N,N,None,Seventh,Opuntia ficus-indica,Large
4,1,11,7,0.25,N,N,Some,Eigth,Opuntia ficus-indica,Large
4,3,11,8.5,0.5,N,N,Some,Ninth,Opuntia ficus-indica,Large
6,2,11,7,0.5,N,N,Some,Fifth,Opuntia ficus-indica,Large
6,5,11,7,0.5,N,N,None,Fifth,Opuntia ficus-indica,Large
9,1,11,7,0.75,Y,Y,Some,Third,Opuntia engelemannii,Small
9,2,11,10.75,1.25,Y,N,Most,First,Opuntia engelemannii,Small
9,3,11,7.5,1,Y,Y,Some,Second,Opuntia engelemannii,Small
9,7,11.25,8.5,0.5,Y,N,None,Fourth,Opuntia engelemannii,Small
5,10,11.5,6,0.25,N,N,None,Third,Opuntia ficus-indica,Large
4,9,11.5,7,0.25,N,N,Some,Sixth,Opuntia ficus-indica,Large
6,1,11.5,7,0.375,N,N,None,Sixth,Opuntia ficus-indica,Large
10,2,11.5,7.25,0.25,Y,N,None,Fifth,Opuntia engelemannii,Large
11,1,11.5,6,0.5,Y,Y,Some,Seventh,Opuntia engelemannii,Small
6,8,11.75,4.5,0.375,N,N,None,Fifth,Opuntia ficus-indica,Large
9,10,12,8.5,1.25,Y,Y,Some,Third,Opuntia engelemannii,Small
2,5,12,6,0.5,N,N,Some,Sixth,Opuntia ficus-indica,Large
11,2,12,7.5,0.3,Y,Y,Some,Eigth,Opuntia engelemannii,Small
10,3,12.5,8.75,0.5,Y,N,None,Second,Opuntia engelemannii,Large
5,1,12.75,6.5,0.25,N,N,None,Sixth,Opuntia ficus-indica,Large
10,5,13,9.25,0.75,Y,N,Most,Third,Opuntia engelemannii,Large
10,8,13,8.5,0.5,Y,N,None,Fifth,Opuntia engelemannii,Large
11,7,13,8.5,0.5,Y,Y,Most,Second,Opuntia engelemannii,Small
6,3,13.5,5.75,0.375,N,N,None,Third,Opuntia ficus-indica,Large
10,10,13.5,9,0.5,Y,N,None,Fifth,Opuntia engelemannii,Large
10,4,14,12.5,0.75,Y,N,Most,Fourth,Opuntia engelemannii,Large
11,5,14,9,0.5,Y,Y,Some,Fifth,Opuntia engelemannii,Small
11,6,14,9,0.1,Y,Y,Most,Third,Opuntia engelemannii,Small
10,1,14.5,11.25,0.5,Y,N,None,Fifth,Opuntia engelemannii,Large
11,3,14.5,9,0.5,Y,Y,Some,Sixth,Opuntia engelemannii,Small
